start;end;utterance
0.0;0.67;
0.67;0.72;<NOISE>
0.72;0.81;aI m
0.81;1.09;s I t I N
1.09;1.24;h i: R
1.24;1.5;n aU
1.5;1.77;s k Q t
1.77;1.98;aI
1.98;2.04;
2.04;2.28;b E t
2.28;2.41;j u:
2.41;2.54;Q n
2.54;2.86;m V n d i:
2.86;3.27;n aI t s
3.27;3.61;g eI m
3.61;3.69;
3.69;4.12;t V n aI t
4.12;4.2;
4.2;4.48;n aI n
4.48;4.63;
4.63;5.03;V k l Q k
5.03;5.29;l Q
5.29;5.37;l Q
5.37;5.46;l Q
5.46;5.65;s @U
5.65;5.76;V n d
5.76;5.96;s @U
5.96;6.1;w I l
6.1;6.37;w I n
6.37;7.24;<VOCNOISE>
7.24;7.3;<SIL>
7.3;7.62;i: k eI k eI k eI k eI
7.62;7.72;V n d
7.72;7.85;w i:
7.85;8.25;<SIL>
8.25;8.45;d @U n t
8.45;8.78;<SIL>
8.78;9.27;I k s tS eI n dZ
9.27;9.43;E n i:
9.43;9.84;m V n i:
9.84;9.94;O: R
9.94;10.05;h { v
10.05;10.23;E n i:
10.23;10.53;m V n i:
10.53;10.61;
10.61;10.95;f I g j 3` z
10.95;11.34;p l { n d
11.34;11.5;aU t
11.5;11.875;dZ V s t
11.875;11.975;<SIL>
11.975;12.31;i: k eI k eI k eI k eI
12.31;12.5;<SIL>
12.5;12.71;@U
12.71;13.1;w E l
13.1;13.39;D { t s
13.39;13.49;j O: R
13.49;13.8;t i: m
13.8;13.97;D { t s
13.97;14.01;<SIL>
14.01;14.17;m aI
14.17;14.49;t i: m
14.49;14.76;l E t s
14.76;14.82;<SIL>
14.82;15.02;g @U
15.02;15.19;{ t
15.19;15.27;I t
15.27;15.61;<UNKNOWN-and>
15.61;15.65;<IVER>
15.65;15.995;<SIL>
15.995;16.35;j E
16.35;16.44;
16.44;16.92;<VOCNOISE>
16.92;17.08;<SIL>
17.08;17.15;V n d
17.15;17.22;I t
17.22;17.51;m eI k s
17.51;17.69;I t
17.69;17.915;<SIL>
17.915;18.25;i: k eI k eI k eI k eI
18.25;18.52;f V n
18.52;18.69;s @U
18.69;18.84;j u:
18.84;19.08;k { n
19.08;19.21;<SIL>
19.21;19.57;{ k tS u: V l i:
19.57;19.96;s i:
19.96;20.2;w V t
20.2;20.93;<SIL>
20.93;21.25;i: k eI k eI k eI k eI
21.25;21.66;j O: R
21.66;21.85;<SIL>
21.85;22.36;s t V d i: I N
22.36;22.53;D i: z
22.53;22.95;t i: m z
22.95;23.24;<SIL>
23.24;23.45;d @U z
23.45;23.91;i: k eI k eI k eI k eI
23.91;24.75;<VOCNOISE>
24.75;24.945;<SIL>
24.945;25.01;j u:
25.01;25.16;k { n
25.16;25.34;g @U
25.34;25.37;V
25.37;25.57;h @U l
25.57;26.21;s i: z V n
26.21;26.42;<SIL>
26.42;26.74;i: k eI k eI k eI k eI
26.74;27.27;s E v V n t i: n
27.27;27.71;eI t i: n
27.71;27.81;V n d
27.81;28.18;@U
28.18;28.315;<SIL>
28.315;28.7;V n d
28.7;28.985;<SIL>
28.985;29.71;n @U b Q d i: z
29.71;30.2;<SIL>
30.2;30.45;p R I t i:
30.45;30.66;m V tS
30.66;30.92;k V m I N
30.92;31.26;k l @U s
31.26;31.33;t u:
31.33;31.59;j O: R
31.59;32.21;s t { n d 3` d
32.21;32.37;V n d
32.37;32.76;<VOCNOISE>
32.76;34.33;<SIL>
34.33;34.47;w E n
34.47;34.6;j u:
34.6;34.77;w I n
34.77;34.9;O: l
34.9;34.99;D { t
34.99;35.37;m V n i:
35.37;35.56;I t s
35.56;35.81;dZ V s t
35.81;36.03;l aI k
36.03;36.27;j E
36.27;36.59;w E n
36.59;36.7;j u:
36.7;36.92;l u: z
36.92;37.0;O: l
37.0;37.09;D { t
37.09;37.38;m V n i:
37.38;37.535;I t s
37.535;37.7;l aI k
37.7;38.87;<VOCNOISE>
38.87;38.95;
38.95;39.29;<SIL>
39.29;39.55;D { t s
39.55;39.72;I t
39.72;39.76;<SIL>
39.76;40.0;<LAUGH-I'm>
40.0;40.69;g @U I N
40.69;41.42;h @U m
41.42;41.9;<LAUGH>
41.9;42.13;
42.13;42.35;<VOCNOISE>
42.35;42.53;
42.53;43.43;<LAUGH>
43.43;43.71;b V t
43.71;44.15;<SIL>
44.15;44.37;aI v
44.37;44.69;n @U n
44.69;45.05;p i: p V l
45.05;45.11;D { t
45.11;45.76;g { m b V l
45.76;45.96;<SIL>
45.96;46.32;i: k eI k eI k eI k eI
46.32;46.39;
46.39;47.32;k V m p V l s I v l i:
47.32;48.25;<SIL>
48.25;48.29;aI
48.29;48.44;m i: n
48.44;48.58;I t s
48.58;48.73;l aI k
48.73;48.81;V
48.81;49.365;<CUTOFF-g=gambler>
49.365;49.49;<SIL>
49.49;50.02;g { m b l 3` z
50.02;50.73;V n Q n V m V s
50.73;51.73;<SIL>
51.73;52.13;l E v V l
52.13;53.29;<SIL>
53.29;53.48;aI
53.48;53.87;k U d V n t
53.87;54.13;R I l i:
54.13;54.28;
54.28;54.49;g E t
54.49;54.9;I n t u:
54.9;55.0;D { t
55.0;55.36;<SIL>
55.36;55.56;n V m b 3`
55.56;55.8;w V n
55.8;55.94;aI m
55.94;56.0;n Q t
56.0;56.09;
56.09;56.15;D V
56.15;56.49;R I tS V s t
56.49;56.86;p 3` s V n
56.86;56.92;I n
56.92;56.98;D V
56.98;57.28;w 3` l d
57.28;57.37;V n d
57.37;57.75;n V m b 3`
57.75;58.15;t u:
58.15;58.55;<SIL>
58.55;58.82;dZ V s t
58.82;59.09;<SIL>
59.09;59.16;<VOCNOISE>
59.16;59.98;<SIL>
59.98;60.16;l I t V l
60.16;60.435;m V n i:
60.435;60.73;h i: R
60.73;60.83;I z
60.83;61.07;w V n
61.07;61.13;
61.13;61.37;T I N
61.37;61.6;b V t
61.6;61.825;<SIL>
61.825;61.95;w E n
61.95;62.18;j U R
62.18;62.21;<CUTOFF-j=just>
62.21;62.25;<SIL>
62.25;62.3;
62.3;62.47;aU t
62.47;62.62;D E R
62.62;63.18;s p E n d I N
63.18;63.48;j O: R
63.48;64.5;<SIL>
64.5;64.75;k Q R
64.75;65.29;I n S U R V n s
65.29;65.61;m V n i:
65.61;65.86;Q n
65.86;66.05;I t
66.05;66.3;O: R
66.3;67.56;<VOCNOISE>
67.56;67.85;<SIL>
67.85;68.09;R E n t
68.09;68.485;m V n i:
68.485;68.84;D E n
68.84;68.99;<SIL>
68.99;69.27;j u:
69.27;69.33;g Q t
69.33;69.36;V
69.36;69.59;R i: l
69.59;69.64;
69.64;70.25;p R Q b l V m
70.25;70.38;D E R
70.38;70.46;
70.46;71.145;<SIL>
71.145;71.25;aI v
71.25;71.54;s i: n
71.54;71.81;g aI z
71.81;71.99;d u:
71.99;72.26;D { t
72.26;72.57;t u:
72.57;73.77;<SIL>
73.77;73.93;g @U
73.93;74.15;d aU n
74.15;74.19;t u:
74.19;74.6;s k i: @U t @U
74.6;75.03;d aU n z
75.03;75.15;V n d
75.15;75.39;b E t
75.39;75.48;D V
75.48;75.59;
75.59;75.86;<SIL>
75.86;76.08;b E t
76.08;76.14;D V
76.14;76.66;f Q R m
76.66;76.97;Q n
76.97;77.155;<SIL>
77.155;77.46;w V n
77.46;77.95;h O: R s
77.95;78.2;V n d
78.2;78.64;<SIL>
78.64;78.83;
78.83;79.05;w U d V n t
79.05;79.24;i: v I n
79.24;79.33;d u:
79.33;79.86;E n i: T I N
79.86;79.92;
79.92;80.13;f O: R
80.13;80.24;D E m
80.24;82.56;<SIL>
82.56;84.66;<IVER>
84.66;84.91;
84.91;87.09;<SIL>
87.09;87.3;w E l
87.3;87.39;j u:
87.39;87.61;g Q t
87.61;87.68;
87.68;87.93;D V
87.93;88.6;<SIL>
88.6;89.42;k V s i: n @U z
89.42;89.965;<SIL>
89.965;90.21;R I v 3`
90.21;90.49;b @U t
