start;end;utterance
0.0;0.67;<p:>
0.67;0.72;<p:>
0.72;0.76;aI
0.76;0.81;m
0.81;0.93;s
0.93;0.96;I
0.96;0.99;t
0.99;1.02;I
1.02;1.09;N
1.09;1.14;h\
1.14;1.18;i:
1.18;1.24;6.0
1.24;1.33;n
1.33;1.5;aU
1.5;1.66;s
1.66;1.72;k
1.72;1.77;Q
1.77;1.98;aI
1.98;2.04;<p:>
2.04;2.14;b
2.14;2.25;E
2.25;2.28;t
2.28;2.38;Z
2.38;2.41;u
2.41;2.44;Q
2.44;2.54;n
2.54;2.64;m
2.64;2.68;V
2.68;2.74;n
2.74;2.77;d
2.77;2.86;i:
2.86;2.95;n
2.95;3.08;aI
3.08;3.13;t
3.13;3.27;s
3.27;3.34;g
3.34;3.53;eI
3.53;3.61;m
3.61;3.69;<p:>
3.69;3.79;t
3.79;3.82;V
3.82;3.96;n
3.96;4.04;aI
4.04;4.12;?
4.12;4.2;<p:>
4.2;4.29;n
4.29;4.37;aI
4.37;4.48;n
4.48;4.63;<p:>
4.63;4.81;V
4.81;4.91;k
4.91;4.95;l
4.95;5.03;Q
5.03;5.25;l
5.25;5.29;Q
5.29;5.34;l
5.34;5.37;Q
5.37;5.4;l
5.4;5.46;Q
5.46;5.6;s
5.6;5.65;@
5.65;5.68;V
5.68;5.76;n
5.76;5.89;s
5.89;5.96;@U
5.96;6.0;w
6.0;6.1;l=
6.1;6.22;w
6.22;6.3;I
6.3;6.37;n
6.37;7.24;<p:>
7.24;7.3;<p:>
7.3;7.34;i:
7.34;7.37;k
7.37;7.41;eI
7.41;7.44;k
7.44;7.48;eI
7.48;7.51;k
7.51;7.55;eI
7.55;7.58;k
7.58;7.62;eI
7.62;7.65;V
7.65;7.72;n
7.72;7.75;w
7.75;7.85;i:
7.85;8.25;<p:>
8.25;8.28;d
8.28;8.34;@U
8.34;8.45;n
8.45;8.78;<p:>
8.78;8.83;I
8.83;8.89;k
8.89;8.99;s
8.99;9.07;tS
9.07;9.18;eI
9.18;9.22;n
9.22;9.27;dZ
9.27;9.35;I
9.35;9.38;n
9.38;9.43;i:
9.43;9.55;m
9.55;9.64;V
9.64;9.72;n
9.72;9.84;i:
9.84;9.94;6.0
9.94;10.02;h\
10.02;10.05;{
10.05;10.08;E
10.08;10.13;n
10.13;10.23;i:
10.23;10.35;m
10.35;10.38;V
10.38;10.43;n
10.43;10.53;i:
10.53;10.61;<p:>
10.61;10.66;f
10.66;10.71;I
10.71;10.74;g
10.74;10.84;j
10.84;10.9;3`
10.9;10.95;z
10.95;11.09;p
11.09;11.17;l
11.17;11.22;{
11.22;11.34;n
11.34;11.5;aU
11.5;11.6;dZ
11.6;11.68;I
11.68;11.875;s
11.875;11.975;<p:>
11.975;12.03;i:
12.03;12.06;k
12.06;12.1;eI
12.1;12.13;k
12.13;12.17;eI
12.17;12.2;k
12.2;12.24;eI
12.24;12.27;k
12.27;12.31;eI
12.31;12.5;<p:>
12.5;12.6;?
12.6;12.71;@U
12.71;12.84;w
12.84;12.87;E
12.87;13.1;l
13.1;13.17;D
13.17;13.25;{
13.25;13.3;t
13.3;13.39;s
13.39;13.42;j
13.42;13.46;O:
13.46;13.49;R
13.49;13.63;t
13.63;13.74;i:
13.74;13.8;m
13.8;13.83;D
13.83;13.88;{
13.88;13.93;t
13.93;13.97;s
13.97;14.01;<p:>
14.01;14.08;m
14.08;14.17;aI
14.17;14.31;t
14.31;14.41;i:
14.41;14.49;m
14.49;14.52;l
14.52;14.57;E
14.57;14.6;t
14.6;14.76;s
14.76;14.82;<p:>
14.82;14.9;g
14.9;15.02;@U
15.02;15.16;{
15.16;15.19;t
15.19;15.23;I
15.23;15.27;t
15.27;15.61;<p:>
15.61;15.65;<p:>
15.65;15.995;<p:>
15.995;16.06;j
16.06;16.35;E
16.35;16.44;<p:>
16.44;16.92;<p:>
16.92;17.08;<p:>
17.08;17.12;V
17.12;17.15;n
17.15;17.22;I
17.22;17.3;m
17.3;17.41;eI
17.41;17.44;k
17.44;17.51;s
17.51;17.66;I
17.66;17.69;t
17.69;17.915;<p:>
17.915;17.96;i:
17.96;17.99;k
17.99;18.03;eI
18.03;18.06;k
18.06;18.1;eI
18.1;18.13;k
18.13;18.17;eI
18.17;18.21;k
18.21;18.25;eI
18.25;18.33;f
18.33;18.42;V
18.42;18.52;n
18.52;18.66;s
18.66;18.69;@
18.69;18.81;j
18.81;18.84;u
18.84;18.94;k
18.94;18.97;I
18.97;19.08;n
19.08;19.21;<p:>
19.21;19.31;{
19.31;19.35;k
19.35;19.43;tS
19.43;19.47;u:
19.47;19.5;V
19.5;19.53;l
19.53;19.57;i:
19.57;19.75;s
19.75;19.96;i:
19.96;20.11;w
20.11;20.14;V
20.14;20.2;4.0
20.2;20.93;<p:>
20.93;20.97;i:
20.97;21.0;k
21.0;21.04;eI
21.04;21.07;k
21.07;21.11;eI
21.11;21.14;k
21.14;21.18;eI
21.18;21.21;k
21.21;21.25;eI
21.25;21.42;j
21.42;21.46;O:
21.46;21.66;6.0
21.66;21.85;<p:>
21.85;21.96;s
21.96;22.04;t
22.04;22.11;V
22.11;22.16;4.0
22.16;22.26;i:
22.26;22.36;N
22.36;22.39;D
22.39;22.46;i:
22.46;22.53;z
22.53;22.65;t
22.65;22.79;i:
22.79;22.85;m
22.85;22.95;z
22.95;23.24;<p:>
23.24;23.34;d
23.34;23.42;@U
23.42;23.45;z
23.45;23.49;i:
23.49;23.52;k
23.52;23.62;eI
23.62;23.7;k
23.7;23.75;eI
23.75;23.78;k
23.78;23.82;eI
23.82;23.85;k
23.85;23.91;eI
23.91;24.75;<p:>
24.75;24.945;<p:>
24.945;24.98;j
24.98;25.01;u
25.01;25.04;k
25.04;25.16;n=
25.16;25.24;g
25.24;25.34;@U
25.34;25.37;V
25.37;25.46;h
25.46;25.5;@U
25.5;25.57;l
25.57;25.74;s
25.74;25.88;i:
25.88;25.98;z
25.98;26.01;V
26.01;26.21;n
26.21;26.42;<p:>
26.42;26.46;i:
26.46;26.49;k
26.49;26.53;eI
26.53;26.56;k
26.56;26.6;eI
26.6;26.63;k
26.63;26.67;eI
26.67;26.7;k
26.7;26.74;eI
26.74;26.93;s
26.93;26.99;E
26.99;27.02;v
27.02;27.05;V
27.05;27.09;n
27.09;27.18;t
27.18;27.24;i:
27.24;27.27;n
27.27;27.43;eI
27.43;27.55;t
27.55;27.62;i:
27.62;27.71;n
27.71;27.74;V
27.74;27.81;n
27.81;28.01;?
28.01;28.18;@U
28.18;28.315;<p:>
28.315;28.36;V
28.36;28.7;n
28.7;28.985;<p:>
28.985;29.1;n
29.1;29.14;@U
29.14;29.23;b
29.23;29.28;Q
29.28;29.32;4.0
29.32;29.52;i:
29.52;29.71;z
29.71;30.2;<p:>
30.2;30.29;p
30.29;30.33;R
30.33;30.38;I
30.38;30.41;t
30.41;30.45;i:
30.45;30.48;m
30.48;30.54;V
30.54;30.66;tS
30.66;30.74;k
30.74;30.77;V
30.77;30.84;m
30.84;30.87;I
30.87;30.92;N
30.92;31.05;k
