start;end;utterance
0.0;1.12;<p:>
1.12;1.24;t
1.24;1.28;E
1.28;1.39;n
1.39;1.45;d
1.45;1.54;u:
1.54;1.57;b
1.57;1.71;i:
1.71;1.74;V
1.74;1.8;s
1.8;1.91;?
1.91;2.0;eI
2.0;2.05;Z
2.05;2.09;V
2.09;2.15;n
2.15;2.18;V
2.18;2.25;m
2.25;2.33;E
2.33;2.39;R
2.39;2.42;V
2.42;2.52;k
2.52;2.55;V
2.55;2.6;n
2.6;2.63;v
2.63;2.79;j
2.79;2.91;u:
2.91;3.04;3`
3.04;3.16;z
3.16;3.21;<p:>
3.21;3.29;V
3.29;3.38;k
3.38;3.41;R
3.41;3.47;O:
3.47;3.58;s
3.58;3.64;f
3.64;3.68;R
3.68;3.75;{
3.75;3.8;n
3.8;3.91;s
3.91;4.05;k
4.05;4.12;E
4.12;4.18;R
4.18;4.25;i:
4.25;4.33;d
4.33;4.41;I
4.41;4.46;n
4.46;4.54;t
4.54;4.61;3`
4.61;4.65;n
4.65;4.68;V
4.68;4.76;l
4.76;4.81;p
4.81;4.89;E
4.89;4.92;R
4.92;4.97;V
4.97;5.06;s
5.06;5.2;aI
5.2;5.23;t
5.23;5.31;s
5.31;5.37;I
5.37;5.42;n
5.42;5.5;R
5.5;5.56;E
5.56;5.68;t
5.68;5.78;aI
5.78;5.85;l
5.85;5.95;z
5.95;6.0;<p:>
6.0;6.09;t
6.09;6.16;I
6.16;6.21;E
6.21;6.32;m
6.32;6.35;p
6.35;6.44;{
6.44;6.53;T
6.53;6.56;V
6.56;6.6;k
6.6;6.63;V
6.63;6.66;l
6.66;6.78;i:
6.78;6.91;S
6.91;7.01;E
7.01;7.08;R
7.08;7.68;<p:>
