start;end;utterance
0.49999999999999867;0.94; I'm
0.94;1.1; sitting
1.1;1.34; here
1.34;1.66; now,
1.88;2.0; Scott.
2.16;2.2; I
2.2;2.34; bet
2.34;2.56; you
2.56;2.64; all
2.64;2.88; Monday
2.88;3.4; night's
3.4;3.64; game
3.64;4.08; tonight,
4.4;4.5; nine
4.5;4.8; o
4.8;4.86;'clock,
5.06;5.14; like
5.14;5.32; a
5.32;5.4; lot
5.4;5.42; of
5.42;5.8; sudden,
5.8;6.08; so
6.08;6.22; it
6.22;6.66; went.
7.76;7.76; You
7.76;7.76; know,
7.94;7.94; when
7.94;8.78; don't
8.78;9.22; exchange
9.22;9.56; any
9.56;9.8; money
9.8;10.02; or
10.02;10.28; having
10.28;10.62; money
10.62;10.96; figures
10.96;11.32; planned
11.32;11.6; out,
11.82;12.06; just,
12.06;12.12; you
12.12;12.42; know,
12.68;12.86; oh,
12.9;13.12; well,
13.18;13.44; that's
13.44;13.58; your
13.58;13.82; team.
14.02;14.18; That's
14.18;14.28; my
14.28;14.56; team,
14.78;14.82; let's
14.82;15.08; go
15.08;15.3; at
15.3;15.5; it.
16.42;16.42; Yeah,
17.06;17.28; and
17.28;17.36; it
17.36;17.54; makes
17.54;18.06; it,
18.06;18.08; you
18.08;18.26; know,
18.34;18.6; fun.
18.74;18.84; So
18.84;18.92; you
18.92;19.24; can
19.24;19.56; actually
19.56;20.04; see
20.04;21.0; what,
21.0;21.08; you
21.08;21.28; know,
21.46;22.02; you're
22.02;22.28; studying
22.28;22.64; these
22.64;23.02; teams
23.02;23.68; does,
23.8;23.8; you
23.8;24.02; know?
24.92;25.06; You
25.06;25.24; can
25.24;25.44; go
25.44;25.52; a
25.52;25.72; whole
25.72;26.3; season,
26.46;26.56; you
26.56;26.84; know,
26.9;27.22; 17,
27.36;27.7; 18
27.7;28.0; and
28.0;28.32; out.
28.32;29.06; And
29.06;30.28; nobody's
30.28;30.46; pretty
30.46;30.7; much
30.7;30.98; coming
30.98;31.3; close
31.3;31.5; to
31.5;31.78; your
31.78;32.14; standard,
34.32;34.46; and
34.46;34.58; when
34.58;34.66; you
34.66;34.82; win
34.82;34.98; all
34.98;35.12; that
35.12;35.36; money,
35.56;35.68; it's
35.68;35.94; just
35.94;36.16; like,
36.38;36.44; yeah,
36.54;36.6; when
36.6;36.84; you
36.84;37.0; lose
37.0;37.12; all
37.12;37.2; that
37.2;37.44; money,
38.300000000000004;38.78; it's
38.78;39.16; like,
39.32;39.68; that's
39.68;40.16; it.
40.18;40.32; I'm
40.32;40.52; going
40.52;40.92; home,
43.46;43.8; but
43.8;44.52; I've
44.52;44.72; known
44.72;45.1; people
45.1;45.74; gamble,
46.04;46.04; you
46.04;46.6; know,
46.86;47.3; compulsively.
48.3;48.38; I
48.38;48.48; mean,
48.58;48.72; it's
48.72;49.02; like
49.02;49.34; a
