start;end;utterance
0.358554;0.449000;{B_TRANS}
0.449000;0.563000;SIL
0.563000;1.015000;VOCNOISE
1.015000;1.150000;SIL
1.150000;1.198000;m
1.198000;1.363000;hh
1.363000;1.525000;m
1.525000;1.647000;ow
1.647000;1.818000;k
1.818000;3.289000;ey
3.289000;3.358000;IVER
3.358000;3.570000;ng
3.570000;3.675000;ow
3.675000;3.843000;k
3.843000;5.340000;ey
5.340000;6.652000;IVER
6.652000;0.561000;LAUGH
0.561000;0.651000;IVER
0.651000;0.765000;ih
0.765000;0.813000;s
0.813000;0.888000;v
0.888000;0.956000;eh
0.956000;1.040000;r
1.040000;1.112000;iy
1.112000;1.181000;d
1.181000;1.275538;ih
1.275538;1.316316;f
1.316316;1.457000;ah
1.457000;1.538000;k
1.538000;1.591000;ah
1.591000;1.726000;l
1.726000;4.063000;t
4.063000;4.197000;IVER
4.197000;4.296000;y
4.296000;5.204000;ae
5.204000;5.320000;SIL
5.320000;5.347000;ay
5.347000;5.437000;dx
5.437000;5.503000;ah
5.503000;5.632000;n
5.632000;5.683000;ow
5.683000;5.991000;w
5.991000;6.127677;ay
6.127677;6.518248;SIL
6.518248;6.689000;VOCNOISE
6.689000;6.815000;ah
6.815000;6.833000;k
6.833000;6.899000;l
6.899000;6.935000;ah
6.935000;6.968000;m
6.968000;7.024148;w
7.024148;7.151000;uh
7.151000;7.212000;s
7.212000;7.335000;ih
7.335000;7.383000;z
7.383000;7.463000;jh
7.463000;7.533000;ah
7.533000;7.633000;s
7.633000;7.704000;s
7.704000;7.850000;t
7.850000;7.853000;ah
7.853000;7.952000;b
7.952000;7.997000;er
7.997000;8.066000;n
8.066000;8.150000;ah
8.150000;8.306000;b
8.306000;8.345000;aw
8.345000;8.443000;dx
8.443000;8.500000;ih
8.500000;8.593000;d
8.593000;8.662000;ih
8.662000;8.764000;n
8.764000;8.875000;t
8.875000;8.950000;ih
8.950000;9.316368;l
9.316368;9.387000;VOCNOISE
9.387000;9.429000;dh
9.429000;9.500706;ah
9.500706;9.747907;l
9.747907;9.890000;ae
9.890000;0.046087;s
0.046087;0.248265;jh
0.248265;0.520951;iy
0.520951;1.020000;r
1.020000;1.442000;VOCNOISE
1.442000;1.573000;ah
1.573000;1.696000;SIL
1.696000;1.894000;dh
1.894000;1.969000;eh
1.969000;2.098000;hh
2.098000;2.163000;ae
2.163000;2.232000;d
2.232000;2.292000;en
2.292000;2.487000;b
2.487000;2.541000;ey
2.541000;2.667000;n
2.667000;2.750000;ey
2.750000;2.810000;b
2.810000;2.858000;el
2.858000;2.899493;d
2.899493;2.969000;ih
2.969000;3.065000;g
3.065000;3.143000;eh
3.143000;3.258000;t
3.258000;3.368000;s
3.368000;3.454000;ah
3.454000;3.619000;b
3.619000;3.682000;s
3.682000;3.748000;f
3.748000;3.793000;ih
3.793000;3.871423;f
3.871423;3.901582;t
3.901582;4.013000;iy
4.013000;4.073000;p
4.073000;4.227000;er
4.227000;4.272000;s
4.272000;4.371000;SIL
4.371000;4.440000;s
4.440000;4.488000;ah
4.488000;4.560000;b
4.560000;4.667000;s
4.667000;4.829000;ih
4.829000;4.979000;t
4.979000;5.036000;uw
5.036000;5.147000;t
5.147000;5.230000;s
5.230000;5.300000;f
5.300000;5.410000;ih
5.410000;5.500000;t
5.500000;5.572000;iy
5.572000;5.647000;p
5.647000;5.773000;er
5.773000;5.850000;s
5.850000;5.919000;eh
5.919000;5.991000;n
5.991000;6.072025;ah
6.072025;6.132343;dh
6.132343;6.279000;eh
6.279000;6.497000;t
6.497000;6.569000;ay
6.569000;6.653000;m
6.653000;6.722000;ih
6.722000;6.824000;n
6.824000;6.926000;s
6.926000;6.983000;ah
6.983000;7.090000;dh
7.090000;7.156000;ih
7.156000;7.258000;t
7.258000;7.360000;iy
7.360000;7.440000;ch
7.440000;7.540000;er
7.540000;7.606000;s
7.606000;7.669000;w
7.669000;7.749000;er
7.749000;7.839000;sh
7.839000;7.902000;k
7.902000;7.974000;r
7.974000;8.040000;iy
8.040000;8.106000;m
8.106000;8.163000;ih
8.163000;8.600000;ng
8.600000;8.660000;VOCNOISE
8.660000;8.729000;eh
8.729000;8.810000;n
8.810000;8.873000;ey
8.873000;8.960000;w
8.960000;9.073000;er
9.073000;9.160000;s
9.160000;9.199000;p
9.199000;9.259000;l
9.259000;9.277000;ih
9.277000;9.346000;tq
9.346000;9.388000;en
9.388000;9.450891;n
9.450891;9.583000;ih
