start;end;utterance
0.0;1.1460785835143792;
1.1460785835143792;1.420750237878688;ten
1.420750237878688;1.883193707882605;dubious
1.883193707882605;2.144857728083374;asian
2.144857728083374;2.6373602849761286;american
2.6373602849761286;3.1888708189756705;viewers
3.1888708189756705;3.5618643180726592;across
3.5618643180726592;3.9859852214412568;france
3.9859852214412568;4.325289782905651;carried
4.325289782905651;4.772248624654327;internal
4.772248624654327;5.323681488419569;parasites
5.323681488419569;5.4342356527486135;in
5.4342356527486135;6.027670170377502;reptiles
6.027670170377502;6.134234918736518;to
6.134234918736518;6.784364352689399;empathically
6.784364352689399;7.153732161794469;share
7.153732161794469;7.68;
